Product ID,Product Name,Category,Date,Quantity,Product Cost,Revenue,Profit,Region,Customer ID
PRD-007,Olio Carli Olive Oil 1L,Groceries,02/01/2024,6,19200,24600,5400,Lahore - Gulberg,CUST-2672
PRD-010,Sufi Banaspati Ghee 1kg,Groceries,02/01/2024,5,2250,2750,500,Rawalpindi - Saddar,CUST-4460
PRD-013,Mitchell's Apple Jam 450g,Groceries,03/01/2024,5,1250,1750,500,Rawalpindi - Saddar,CUST-1782
PRD-019,Tapal Danedar Tea 450g,Groceries,03/01/2024,6,4500,5400,900,Rawalpindi - Saddar,CUST-8233
PRD-004,National Tomato Ketchup 800g,Groceries,03/01/2024,4,1400,1800,400,Rawalpindi - Saddar,CUST-5459
PRD-001,Shan Bombay Biryani Masala,Groceries,03/01/2024,6,540,780,240,Lahore - DHA,CUST-8850
PRD-024,Rose Petal Tissues,Household,03/01/2024,6,780,1080,300,Islamabad - Centaurus,CUST-8181
PRD-017,Menu Chicken Seekh Kabab 500g,Frozen Food,03/01/2024,1,700,900,200,Lahore - Gulberg,CUST-9465
PRD-003,MilkPak Tetra Pack 1L,Dairy,03/01/2024,4,960,1120,160,Islamabad - F7,CUST-2925
PRD-006,Sunsilk Shampoo 400ml,Cosmetics,03/01/2024,1,650,850,200,Islamabad - Centaurus,CUST-8523
PRD-013,Mitchell's Apple Jam 450g,Groceries,04/01/2024,1,250,350,100,Islamabad - F7,CUST-6222
PRD-023,Vim Dishwash Liquid 500ml,Household,04/01/2024,5,1000,1400,400,Lahore - Gulberg,CUST-8749
PRD-020,Head & Shoulders Shampoo 400ml,Cosmetics,04/01/2024,4,2800,3800,1000,Lahore - DHA,CUST-7502
PRD-014,Young's French Mayonnaise 500ml,Groceries,04/01/2024,1,380,480,100,Karachi - Clifton,CUST-1573
PRD-021,Pampers Baby Dry Size 4,Baby Care,04/01/2024,6,13200,16800,3600,Rawalpindi - Saddar,CUST-2128
PRD-009,Lipton Yellow Label Tea 900g,Groceries,04/01/2024,3,4200,5100,900,Islamabad - F7,CUST-7843
PRD-011,Dettol Original Soap 115g,Personal Care,04/01/2024,3,300,420,120,Lahore - Gulberg,CUST-6701
PRD-002,Nutella Hazelnut Spread 750g,Groceries,04/01/2024,4,7200,9600,2400,Faisalabad - Kohinoor,CUST-9075
PRD-024,Rose Petal Tissues,Household,04/01/2024,2,260,360,100,Karachi - Clifton,CUST-3681
PRD-004,National Tomato Ketchup 800g,Groceries,04/01/2024,4,1400,1800,400,Islamabad - F7,CUST-6479
PRD-015,Dawn Bread Large,Bakery,04/01/2024,5,600,750,150,Faisalabad - Kohinoor,CUST-1735
PRD-022,Surf Excel Washing Powder 1kg,Household,04/01/2024,2,1200,1500,300,Karachi - Clifton,CUST-3588
PRD-020,Head & Shoulders Shampoo 400ml,Cosmetics,04/01/2024,4,2800,3800,1000,Karachi - Clifton,CUST-6399
PRD-016,K&N's Chicken Nuggets 1kg,Frozen Food,04/01/2024,4,4800,6200,1400,Lahore - DHA,CUST-6113
PRD-020,Head & Shoulders Shampoo 400ml,Cosmetics,05/01/2024,5,3500,4750,1250,Rawalpindi - Saddar,CUST-4706
PRD-012,Colgate Maximum Cavity 120g,Personal Care,05/01/2024,1,150,200,50,Islamabad - Centaurus,CUST-8669
PRD-023,Vim Dishwash Liquid 500ml,Household,05/01/2024,4,800,1120,320,Lahore - DHA,CUST-2161
PRD-023,Vim Dishwash Liquid 500ml,Household,05/01/2024,6,1200,1680,480,Faisalabad - Kohinoor,CUST-5347
PRD-007,Olio Carli Olive Oil 1L,Groceries,05/01/2024,2,6400,8200,1800,Islamabad - F7,CUST-3787
PRD-010,Sufi Banaspati Ghee 1kg,Groceries,05/01/2024,1,450,550,100,Islamabad - F7,CUST-7379
PRD-009,Lipton Yellow Label Tea 900g,Groceries,05/01/2024,4,5600,6800,1200,Faisalabad - Kohinoor,CUST-4418
PRD-007,Olio Carli Olive Oil 1L,Groceries,05/01/2024,3,9600,12300,2700,Rawalpindi - Saddar,CUST-4361
PRD-024,Rose Petal Tissues,Household,05/01/2024,5,650,900,250,Islamabad - Centaurus,CUST-2695
PRD-017,Menu Chicken Seekh Kabab 500g,Frozen Food,05/01/2024,5,3500,4500,1000,Lahore - DHA,CUST-6527
PRD-024,Rose Petal Tissues,Household,06/01/2024,3,390,540,150,Rawalpindi - Saddar,CUST-1241
PRD-023,Vim Dishwash Liquid 500ml,Household,06/01/2024,5,1000,1400,400,Islamabad - Centaurus,CUST-9186
PRD-010,Sufi Banaspati Ghee 1kg,Groceries,06/01/2024,2,900,1100,200,Karachi - Clifton,CUST-8020
PRD-014,Young's French Mayonnaise 500ml,Groceries,06/01/2024,3,1140,1440,300,Karachi - Clifton,CUST-5242
PRD-004,National Tomato Ketchup 800g,Groceries,06/01/2024,2,700,900,200,Islamabad - F7,CUST-8794
PRD-007,Olio Carli Olive Oil 1L,Groceries,06/01/2024,2,6400,8200,1800,Rawalpindi - Saddar,CUST-2039
PRD-001,Shan Bombay Biryani Masala,Groceries,06/01/2024,4,360,520,160,Lahore - DHA,CUST-3097
PRD-002,Nutella Hazelnut Spread 750g,Groceries,06/01/2024,2,3600,4800,1200,Karachi - Clifton,CUST-8656
PRD-008,Red Bull Energy Drink,Beverages,06/01/2024,4,1200,1600,400,Faisalabad - Kohinoor,CUST-8559
PRD-018,Nestle Fruita Vitals Chaunsa 1L,Beverages,06/01/2024,6,1500,1800,300,Islamabad - Centaurus,CUST-4367
PRD-019,Tapal Danedar Tea 450g,Groceries,06/01/2024,3,2250,2700,450,Karachi - Clifton,CUST-5151
PRD-015,Dawn Bread Large,Bakery,07/01/2024,4,480,600,120,Rawalpindi - Saddar,CUST-7124
PRD-021,Pampers Baby Dry Size 4,Baby Care,07/01/2024,2,4400,5600,1200,Islamabad - F7,CUST-5957
PRD-020,Head & Shoulders Shampoo 400ml,Cosmetics,07/01/2024,3,2100,2850,750,Rawalpindi - Saddar,CUST-4876
PRD-001,Shan Bombay Biryani Masala,Groceries,07/01/2024,4,360,520,160,Lahore - Gulberg,CUST-8401
PRD-022,Surf Excel Washing Powder 1kg,Household,07/01/2024,6,3600,4500,900,Lahore - DHA,CUST-1875
PRD-019,Tapal Danedar Tea 450g,Groceries,07/01/2024,3,2250,2700,450,Lahore - DHA,CUST-4939
PRD-001,Shan Bombay Biryani Masala,Groceries,07/01/2024,4,360,520,160,Lahore - DHA,CUST-4793
PRD-015,Dawn Bread Large,Bakery,07/01/2024,1,120,150,30,Karachi - Clifton,CUST-5956
PRD-009,Lipton Yellow Label Tea 900g,Groceries,07/01/2024,2,2800,3400,600,Lahore - Gulberg,CUST-1232
PRD-006,Sunsilk Shampoo 400ml,Cosmetics,07/01/2024,4,2600,3400,800,Lahore - DHA,CUST-8531
PRD-013,Mitchell's Apple Jam 450g,Groceries,07/01/2024,3,750,1050,300,Rawalpindi - Saddar,CUST-2788
PRD-003,MilkPak Tetra Pack 1L,Dairy,07/01/2024,3,720,840,120,Karachi - Clifton,CUST-3630
PRD-011,Dettol Original Soap 115g,Personal Care,08/01/2024,3,300,420,120,Karachi - Clifton,CUST-7894
PRD-014,Young's French Mayonnaise 500ml,Groceries,08/01/2024,4,1520,1920,400,Karachi - Clifton,CUST-3508
PRD-003,MilkPak Tetra Pack 1L,Dairy,08/01/2024,2,480,560,80,Lahore - DHA,CUST-3453
PRD-007,Olio Carli Olive Oil 1L,Groceries,08/01/2024,4,12800,16400,3600,Karachi - Clifton,CUST-8938
PRD-001,Shan Bombay Biryani Masala,Groceries,08/01/2024,1,90,130,40,Karachi - Clifton,CUST-4419
PRD-006,Sunsilk Shampoo 400ml,Cosmetics,08/01/2024,5,3250,4250,1000,Islamabad - F7,CUST-1869
PRD-010,Sufi Banaspati Ghee 1kg,Groceries,08/01/2024,5,2250,2750,500,Lahore - DHA,CUST-2812
PRD-005,Coca Cola 1.5L,Beverages,09/01/2024,4,720,880,160,Lahore - Gulberg,CUST-4733
PRD-012,Colgate Maximum Cavity 120g,Personal Care,09/01/2024,5,750,1000,250,Islamabad - F7,CUST-3017
PRD-014,Young's French Mayonnaise 500ml,Groceries,09/01/2024,5,1900,2400,500,Islamabad - Centaurus,CUST-1955
PRD-004,National Tomato Ketchup 800g,Groceries,09/01/2024,4,1400,1800,400,Islamabad - Centaurus,CUST-1540
PRD-002,Nutella Hazelnut Spread 750g,Groceries,09/01/2024,6,10800,14400,3600,Lahore - Gulberg,CUST-5857
PRD-014,Young's French Mayonnaise 500ml,Groceries,09/01/2024,2,760,960,200,Faisalabad - Kohinoor,CUST-1196
PRD-011,Dettol Original Soap 115g,Personal Care,09/01/2024,1,100,140,40,Rawalpindi - Saddar,CUST-7963
PRD-019,Tapal Danedar Tea 450g,Groceries,09/01/2024,2,1500,1800,300,Rawalpindi - Saddar,CUST-1684
PRD-004,National Tomato Ketchup 800g,Groceries,09/01/2024,4,1400,1800,400,Islamabad - F7,CUST-6545
PRD-005,Coca Cola 1.5L,Beverages,09/01/2024,3,540,660,120,Rawalpindi - Saddar,CUST-8805
PRD-012,Colgate Maximum Cavity 120g,Personal Care,09/01/2024,1,150,200,50,Islamabad - Centaurus,CUST-2361
PRD-006,Sunsilk Shampoo 400ml,Cosmetics,09/01/2024,5,3250,4250,1000,Faisalabad - Kohinoor,CUST-1630
PRD-009,Lipton Yellow Label Tea 900g,Groceries,09/01/2024,3,4200,5100,900,Lahore - DHA,CUST-1664
PRD-020,Head & Shoulders Shampoo 400ml,Cosmetics,09/01/2024,2,1400,1900,500,Faisalabad - Kohinoor,CUST-1645
PRD-017,Menu Chicken Seekh Kabab 500g,Frozen Food,09/01/2024,1,700,900,200,Karachi - Clifton,CUST-2022
PRD-007,Olio Carli Olive Oil 1L,Groceries,09/01/2024,3,9600,12300,2700,Lahore - Gulberg,CUST-8938
PRD-014,Young's French Mayonnaise 500ml,Groceries,09/01/2024,2,760,960,200,Islamabad - Centaurus,CUST-1492
PRD-004,National Tomato Ketchup 800g,Groceries,09/01/2024,1,350,450,100,Islamabad - Centaurus,CUST-8874
PRD-025,Mitchell's Lemon Squash 800ml,Beverages,10/01/2024,5,1400,1900,500,Lahore - DHA,CUST-1762
PRD-003,MilkPak Tetra Pack 1L,Dairy,10/01/2024,4,960,1120,160,Faisalabad - Kohinoor,CUST-3367
PRD-015,Dawn Bread Large,Bakery,10/01/2024,5,600,750,150,Karachi - Clifton,CUST-5602
PRD-004,National Tomato Ketchup 800g,Groceries,10/01/2024,6,2100,2700,600,Lahore - DHA,CUST-7106
PRD-007,Olio Carli Olive Oil 1L,Groceries,10/01/2024,4,12800,16400,3600,Islamabad - Centaurus,CUST-5965
PRD-001,Shan Bombay Biryani Masala,Groceries,10/01/2024,5,450,650,200,Rawalpindi - Saddar,CUST-7316
PRD-005,Coca Cola 1.5L,Beverages,10/01/2024,4,720,880,160,Karachi - Clifton,CUST-9747
PRD-004,National Tomato Ketchup 800g,Groceries,10/01/2024,1,350,450,100,Lahore - DHA,CUST-2463
PRD-009,Lipton Yellow Label Tea 900g,Groceries,10/01/2024,5,7000,8500,1500,Lahore - Gulberg,CUST-7545
PRD-022,Surf Excel Washing Powder 1kg,Household,10/01/2024,2,1200,1500,300,Islamabad - F7,CUST-5198
PRD-005,Coca Cola 1.5L,Beverages,10/01/2024,2,360,440,80,Islamabad - F7,CUST-6873
PRD-014,Young's French Mayonnaise 500ml,Groceries,10/01/2024,5,1900,2400,500,Karachi - Clifton,CUST-4107
PRD-020,Head & Shoulders Shampoo 400ml,Cosmetics,10/01/2024,6,4200,5700,1500,Lahore - Gulberg,CUST-1546
PRD-007,Olio Carli Olive Oil 1L,Groceries,10/01/2024,4,12800,16400,3600,Rawalpindi - Saddar,CUST-4204
PRD-011,Dettol Original Soap 115g,Personal Care,10/01/2024,3,300,420,120,Islamabad - F7,CUST-8049
PRD-025,Mitchell's Lemon Squash 800ml,Beverages,11/01/2024,3,840,1140,300,Islamabad - F7,CUST-3821
PRD-012,Colgate Maximum Cavity 120g,Personal Care,11/01/2024,6,900,1200,300,Rawalpindi - Saddar,CUST-9103
PRD-014,Young's French Mayonnaise 500ml,Groceries,11/01/2024,1,380,480,100,Rawalpindi - Saddar,CUST-1315
PRD-006,Sunsilk Shampoo 400ml,Cosmetics,11/01/2024,4,2600,3400,800,Lahore - DHA,CUST-6456
PRD-020,Head & Shoulders Shampoo 400ml,Cosmetics,11/01/2024,6,4200,5700,1500,Rawalpindi - Saddar,CUST-3336
PRD-019,Tapal Danedar Tea 450g,Groceries,11/01/2024,1,750,900,150,Lahore - DHA,CUST-6235
PRD-010,Sufi Banaspati Ghee 1kg,Groceries,11/01/2024,1,450,550,100,Lahore - DHA,CUST-2970
PRD-016,K&N's Chicken Nuggets 1kg,Frozen Food,11/01/2024,4,4800,6200,1400,Rawalpindi - Saddar,CUST-8318
PRD-012,Colgate Maximum Cavity 120g,Personal Care,11/01/2024,1,150,200,50,Lahore - DHA,CUST-5639
PRD-009,Lipton Yellow Label Tea 900g,Groceries,11/01/2024,2,2800,3400,600,Karachi - Clifton,CUST-5289
PRD-003,MilkPak Tetra Pack 1L,Dairy,12/01/2024,1,240,280,40,Islamabad - F7,CUST-6638
PRD-005,Coca Cola 1.5L,Beverages,12/01/2024,4,720,880,160,Islamabad - Centaurus,CUST-9732
PRD-014,Young's French Mayonnaise 500ml,Groceries,12/01/2024,4,1520,1920,400,Rawalpindi - Saddar,CUST-5598
PRD-022,Surf Excel Washing Powder 1kg,Household,12/01/2024,2,1200,1500,300,Rawalpindi - Saddar,CUST-6812
PRD-025,Mitchell's Lemon Squash 800ml,Beverages,12/01/2024,2,560,760,200,Karachi - Clifton,CUST-6476
PRD-021,Pampers Baby Dry Size 4,Baby Care,12/01/2024,5,11000,14000,3000,Karachi - Clifton,CUST-2172
PRD-009,Lipton Yellow Label Tea 900g,Groceries,12/01/2024,1,1400,1700,300,Rawalpindi - Saddar,CUST-2299
PRD-010,Sufi Banaspati Ghee 1kg,Groceries,12/01/2024,5,2250,2750,500,Lahore - DHA,CUST-8433
PRD-012,Colgate Maximum Cavity 120g,Personal Care,12/01/2024,6,900,1200,300,Faisalabad - Kohinoor,CUST-3742
PRD-013,Mitchell's Apple Jam 450g,Groceries,12/01/2024,1,250,350,100,Lahore - DHA,CUST-5512
PRD-009,Lipton Yellow Label Tea 900g,Groceries,12/01/2024,6,8400,10200,1800,Islamabad - Centaurus,CUST-7889
PRD-024,Rose Petal Tissues,Household,12/01/2024,1,130,180,50,Lahore - Gulberg,CUST-8011
PRD-024,Rose Petal Tissues,Household,12/01/2024,5,650,900,250,Karachi - Clifton,CUST-5257
PRD-018,Nestle Fruita Vitals Chaunsa 1L,Beverages,12/01/2024,1,250,300,50,Lahore - DHA,CUST-7852
PRD-009,Lipton Yellow Label Tea 900g,Groceries,12/01/2024,1,1400,1700,300,Faisalabad - Kohinoor,CUST-6759
PRD-002,Nutella Hazelnut Spread 750g,Groceries,12/01/2024,6,10800,14400,3600,Rawalpindi - Saddar,CUST-9765
PRD-007,Olio Carli Olive Oil 1L,Groceries,12/01/2024,3,9600,12300,2700,Karachi - Clifton,CUST-2152
PRD-020,Head & Shoulders Shampoo 400ml,Cosmetics,12/01/2024,5,3500,4750,1250,Islamabad - F7,CUST-3238
PRD-004,National Tomato Ketchup 800g,Groceries,12/01/2024,6,2100,2700,600,Islamabad - F7,CUST-2431
PRD-011,Dettol Original Soap 115g,Personal Care,13/01/2024,4,400,560,160,Lahore - Gulberg,CUST-8372
PRD-005,Coca Cola 1.5L,Beverages,13/01/2024,6,1080,1320,240,Lahore - DHA,CUST-3539
PRD-015,Dawn Bread Large,Bakery,13/01/2024,6,720,900,180,Faisalabad - Kohinoor,CUST-8210
PRD-011,Dettol Original Soap 115g,Personal Care,13/01/2024,4,400,560,160,Islamabad - Centaurus,CUST-6277
PRD-020,Head & Shoulders Shampoo 400ml,Cosmetics,13/01/2024,5,3500,4750,1250,Lahore - Gulberg,CUST-6698
PRD-023,Vim Dishwash Liquid 500ml,Household,13/01/2024,1,200,280,80,Lahore - DHA,CUST-6837
PRD-013,Mitchell's Apple Jam 450g,Groceries,13/01/2024,3,750,1050,300,Lahore - DHA,CUST-1898
PRD-022,Surf Excel Washing Powder 1kg,Household,13/01/2024,5,3000,3750,750,Islamabad - Centaurus,CUST-9737
PRD-023,Vim Dishwash Liquid 500ml,Household,13/01/2024,2,400,560,160,Rawalpindi - Saddar,CUST-2719
PRD-007,Olio Carli Olive Oil 1L,Groceries,13/01/2024,3,9600,12300,2700,Rawalpindi - Saddar,CUST-2397
PRD-014,Young's French Mayonnaise 500ml,Groceries,13/01/2024,5,1900,2400,500,Islamabad - F7,CUST-4886
PRD-020,Head & Shoulders Shampoo 400ml,Cosmetics,13/01/2024,6,4200,5700,1500,Lahore - Gulberg,CUST-9318
PRD-010,Sufi Banaspati Ghee 1kg,Groceries,13/01/2024,2,900,1100,200,Lahore - Gulberg,CUST-7898
PRD-025,Mitchell's Lemon Squash 800ml,Beverages,13/01/2024,1,280,380,100,Lahore - DHA,CUST-1335
PRD-002,Nutella Hazelnut Spread 750g,Groceries,13/01/2024,3,5400,7200,1800,Lahore - DHA,CUST-9464
PRD-004,National Tomato Ketchup 800g,Groceries,13/01/2024,1,350,450,100,Lahore - DHA,CUST-4538
PRD-023,Vim Dishwash Liquid 500ml,Household,13/01/2024,4,800,1120,320,Islamabad - F7,CUST-5005
PRD-015,Dawn Bread Large,Bakery,13/01/2024,6,720,900,180,Lahore - Gulberg,CUST-9267
PRD-002,Nutella Hazelnut Spread 750g,Groceries,13/01/2024,2,3600,4800,1200,Karachi - Clifton,CUST-9421
PRD-014,Young's French Mayonnaise 500ml,Groceries,13/01/2024,2,760,960,200,Karachi - Clifton,CUST-3036
PRD-021,Pampers Baby Dry Size 4,Baby Care,14/01/2024,3,6600,8400,1800,Rawalpindi - Saddar,CUST-6183
PRD-009,Lipton Yellow Label Tea 900g,Groceries,14/01/2024,1,1400,1700,300,Islamabad - F7,CUST-7415
PRD-013,Mitchell's Apple Jam 450g,Groceries,14/01/2024,4,1000,1400,400,Lahore - DHA,CUST-6088
PRD-009,Lipton Yellow Label Tea 900g,Groceries,14/01/2024,5,7000,8500,1500,Lahore - Gulberg,CUST-5361
PRD-001,Shan Bombay Biryani Masala,Groceries,14/01/2024,4,360,520,160,Islamabad - F7,CUST-9244
PRD-024,Rose Petal Tissues,Household,14/01/2024,4,520,720,200,Islamabad - F7,CUST-2159
PRD-011,Dettol Original Soap 115g,Personal Care,14/01/2024,3,300,420,120,Islamabad - F7,CUST-7101
PRD-002,Nutella Hazelnut Spread 750g,Groceries,14/01/2024,5,9000,12000,3000,Karachi - Clifton,CUST-6900
PRD-025,Mitchell's Lemon Squash 800ml,Beverages,14/01/2024,6,1680,2280,600,Lahore - DHA,CUST-6249
PRD-016,K&N's Chicken Nuggets 1kg,Frozen Food,14/01/2024,3,3600,4650,1050,Faisalabad - Kohinoor,CUST-6236
PRD-014,Young's French Mayonnaise 500ml,Groceries,15/01/2024,3,1140,1440,300,Islamabad - Centaurus,CUST-7485
PRD-022,Surf Excel Washing Powder 1kg,Household,15/01/2024,6,3600,4500,900,Lahore - DHA,CUST-3060
PRD-014,Young's French Mayonnaise 500ml,Groceries,15/01/2024,2,760,960,200,Islamabad - F7,CUST-2832
PRD-005,Coca Cola 1.5L,Beverages,15/01/2024,3,540,660,120,Islamabad - Centaurus,CUST-4714
PRD-015,Dawn Bread Large,Bakery,15/01/2024,6,720,900,180,Islamabad - Centaurus,CUST-5244
PRD-019,Tapal Danedar Tea 450g,Groceries,15/01/2024,4,3000,3600,600,Islamabad - F7,CUST-5110
PRD-012,Colgate Maximum Cavity 120g,Personal Care,15/01/2024,2,300,400,100,Islamabad - F7,CUST-5574
PRD-010,Sufi Banaspati Ghee 1kg,Groceries,15/01/2024,1,450,550,100,Lahore - Gulberg,CUST-3801
PRD-004,National Tomato Ketchup 800g,Groceries,15/01/2024,5,1750,2250,500,Faisalabad - Kohinoor,CUST-3676
PRD-001,Shan Bombay Biryani Masala,Groceries,15/01/2024,2,180,260,80,Islamabad - F7,CUST-1041
PRD-024,Rose Petal Tissues,Household,15/01/2024,5,650,900,250,Karachi - Clifton,CUST-9534
PRD-011,Dettol Original Soap 115g,Personal Care,15/01/2024,5,500,700,200,Faisalabad - Kohinoor,CUST-1736
PRD-010,Sufi Banaspati Ghee 1kg,Groceries,15/01/2024,4,1800,2200,400,Faisalabad - Kohinoor,CUST-7194
PRD-016,K&N's Chicken Nuggets 1kg,Frozen Food,15/01/2024,3,3600,4650,1050,Lahore - Gulberg,CUST-8707
PRD-025,Mitchell's Lemon Squash 800ml,Beverages,15/01/2024,2,560,760,200,Islamabad - Centaurus,CUST-3228
PRD-004,National Tomato Ketchup 800g,Groceries,16/01/2024,3,1050,1350,300,Lahore - Gulberg,CUST-7908
PRD-006,Sunsilk Shampoo 400ml,Cosmetics,16/01/2024,2,1300,1700,400,Islamabad - F7,CUST-3557
PRD-003,MilkPak Tetra Pack 1L,Dairy,16/01/2024,6,1440,1680,240,Islamabad - F7,CUST-9371
PRD-007,Olio Carli Olive Oil 1L,Groceries,16/01/2024,3,9600,12300,2700,Karachi - Clifton,CUST-4229
PRD-006,Sunsilk Shampoo 400ml,Cosmetics,16/01/2024,2,1300,1700,400,Lahore - Gulberg,CUST-7217
PRD-022,Surf Excel Washing Powder 1kg,Household,16/01/2024,4,2400,3000,600,Islamabad - Centaurus,CUST-3674
PRD-011,Dettol Original Soap 115g,Personal Care,16/01/2024,1,100,140,40,Faisalabad - Kohinoor,CUST-9383
PRD-011,Dettol Original Soap 115g,Personal Care,16/01/2024,6,600,840,240,Lahore - DHA,CUST-2857
PRD-007,Olio Carli Olive Oil 1L,Groceries,16/01/2024,1,3200,4100,900,Karachi - Clifton,CUST-2577
PRD-021,Pampers Baby Dry Size 4,Baby Care,16/01/2024,3,6600,8400,1800,Faisalabad - Kohinoor,CUST-9099
PRD-004,National Tomato Ketchup 800g,Groceries,16/01/2024,4,1400,1800,400,Rawalpindi - Saddar,CUST-9173
PRD-023,Vim Dishwash Liquid 500ml,Household,16/01/2024,4,800,1120,320,Islamabad - Centaurus,CUST-9489
PRD-003,MilkPak Tetra Pack 1L,Dairy,16/01/2024,5,1200,1400,200,Rawalpindi - Saddar,CUST-7792
PRD-024,Rose Petal Tissues,Household,16/01/2024,4,520,720,200,Islamabad - Centaurus,CUST-6823
PRD-014,Young's French Mayonnaise 500ml,Groceries,16/01/2024,4,1520,1920,400,Rawalpindi - Saddar,CUST-1767
PRD-018,Nestle Fruita Vitals Chaunsa 1L,Beverages,17/01/2024,4,1000,1200,200,Faisalabad - Kohinoor,CUST-4955
PRD-007,Olio Carli Olive Oil 1L,Groceries,17/01/2024,2,6400,8200,1800,Islamabad - F7,CUST-8470
PRD-007,Olio Carli Olive Oil 1L,Groceries,17/01/2024,6,19200,24600,5400,Faisalabad - Kohinoor,CUST-6909
PRD-015,Dawn Bread Large,Bakery,17/01/2024,1,120,150,30,Lahore - DHA,CUST-7253
PRD-011,Dettol Original Soap 115g,Personal Care,17/01/2024,2,200,280,80,Karachi - Clifton,CUST-1573
PRD-001,Shan Bombay Biryani Masala,Groceries,17/01/2024,6,540,780,240,Islamabad - Centaurus,CUST-6944
PRD-014,Young's French Mayonnaise 500ml,Groceries,17/01/2024,3,1140,1440,300,Lahore - Gulberg,CUST-9050
PRD-024,Rose Petal Tissues,Household,17/01/2024,3,390,540,150,Islamabad - F7,CUST-1479
PRD-013,Mitchell's Apple Jam 450g,Groceries,17/01/2024,4,1000,1400,400,Lahore - DHA,CUST-7971
PRD-011,Dettol Original Soap 115g,Personal Care,17/01/2024,4,400,560,160,Lahore - DHA,CUST-6883
PRD-003,MilkPak Tetra Pack 1L,Dairy,17/01/2024,2,480,560,80,Karachi - Clifton,CUST-5408
PRD-018,Nestle Fruita Vitals Chaunsa 1L,Beverages,17/01/2024,3,750,900,150,Lahore - Gulberg,CUST-7045
PRD-015,Dawn Bread Large,Bakery,17/01/2024,2,240,300,60,Lahore - Gulberg,CUST-2286
PRD-014,Young's French Mayonnaise 500ml,Groceries,17/01/2024,1,380,480,100,Islamabad - F7,CUST-7638
PRD-016,K&N's Chicken Nuggets 1kg,Frozen Food,17/01/2024,2,2400,3100,700,Lahore - DHA,CUST-9987
PRD-011,Dettol Original Soap 115g,Personal Care,17/01/2024,3,300,420,120,Islamabad - Centaurus,CUST-8674
PRD-018,Nestle Fruita Vitals Chaunsa 1L,Beverages,18/01/2024,5,1250,1500,250,Karachi - Clifton,CUST-1957
PRD-002,Nutella Hazelnut Spread 750g,Groceries,18/01/2024,1,1800,2400,600,Islamabad - F7,CUST-6426
